Date,Category,SKU,Units Sold,Price
01/01/2022,Sarsabz Urea,SU-7658,952,5000
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,763,8050
01/01/2022,Sarsabz Urea,SU-7658,859,5000
01/01/2022,Babar Sher Urea,BSR-0294,707,4795
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,800,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,887,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,801,8050
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,760,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,739,8050
01/01/2022,Babar Sher Urea,BSR-0294,874,4795
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,807,8050
01/01/2022,Babar Sher Urea,BSR-0294,856,4795
01/01/2022,Babar Sher Urea,BSR-0294,755,4795
01/01/2022,Babar Sher Urea,BSR-0294,800,4795
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,752,8050
01/01/2022,Babar Sher Urea,BSR-0294,627,4795
01/01/2022,Babar Sher Urea,BSR-0294,726,4795
01/01/2022,CAN Sarsabz Fatima,CSF-9101,901,5080
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,681,8050
01/01/2022,CAN Sarsabz Fatima,CSF-9101,933,5080
01/01/2022,CAN Sarsabz Fatima,CSF-9101,970,5080
01/01/2022,CAN Sarsabz Fatima,CSF-9101,526,5080
01/01/2022,Babar Sher Urea,BSR-0294,916,4795
01/01/2022,CAN Sarsabz Fatima,CSF-9101,658,5080
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,678,4150
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,679,8050
01/01/2022,Sarsabz Urea,SU-7658,819,5000
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,592,4150
01/01/2022,CAN Sarsabz Fatima,CSF-9101,946,5080
01/01/2022,Sarsabz Urea,SU-7658,978,5000
01/01/2022,CAN Sarsabz Fatima,CSF-9101,990,5080
01/01/2022,Babar Sher Urea,BSR-0294,752,4795
01/01/2022,Babar Sher Urea,BSR-0294,521,4795
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,813,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,937,4150
01/01/2022,CAN Sarsabz Fatima,CSF-9101,535,5080
01/01/2022,Sarsabz Urea,SU-7658,990,5000
01/01/2022,CAN Sarsabz Fatima,CSF-9101,711,5080
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,644,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,503,8050
01/01/2022,Babar Sher Urea,BSR-0294,760,4795
01/01/2022,CAN Sarsabz Fatima,CSF-9101,735,5080
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,551,4150
01/01/2022,Sarsabz Urea,SU-7658,621,5000
01/01/2022,Babar Sher Urea,BSR-0294,540,4795
01/01/2022,Sarsabz Urea,SU-7658,517,5000
01/01/2022,Babar Sher Urea,BSR-0294,669,4795
01/01/2022,CAN Sarsabz Fatima,CSF-9101,872,5080
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,807,8050
01/01/2022,Babar Sher Urea,BSR-0294,978,4795
01/01/2022,Babar Sher Urea,BSR-0294,639,4795
01/01/2022,Babar Sher Urea,BSR-0294,685,4795
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,579,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,569,4150
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,625,4150
01/01/2022,CAN Sarsabz Fatima,CSF-9101,778,5080
01/01/2022,Babar Sher Urea,BSR-0294,512,4795
01/01/2022,Babar Sher Urea,BSR-0294,922,4795
01/01/2022,CAN Sarsabz Fatima,CSF-9101,881,5080
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,748,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,504,8050
01/01/2022,CAN Pak Arab Guwara,CPAG-1122,648,4150
01/01/2022,CAN Sarsabz Fatima,CSF-9101,800,5080
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,885,8050
01/01/2022,Nitrophos Sarsabz NP,NSP-5678,865,8050
01/01/2022,CAN Sarsabz Fatima,CSF-9101,573,5080
